filepath,label
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0000.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0001.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0002.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0003.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0004.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0005.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0006.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0007.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0008.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0009.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0010.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0011.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0012.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0013.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0014.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0015.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0016.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0017.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0018.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0019.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0020.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0021.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0022.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0023.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0024.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0025.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0026.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0027.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0028.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0029.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0030.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0031.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0032.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0033.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0034.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0035.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0036.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0037.jpg,Circuit Breakers
thermal_vision_workspace\cleaned\Circuit Breakers\Circuit Breakers_0038.jpg,Circuit Breakers
